cpi,cpi_change_percent,gasoline_price_dollar,gdp_dollar,minimum_wage,out_of_pocket_health_expenditure_percent,popolation_labor_force_participation_percentin_tons,tax_revenue_percent,total_tax_rate_percent,unemployment_rate_percent,id_country
180.44,7.7,0.97,2611000000000,0.3,65.1,49.3,11.2,49.7,5.36,78
151.18,3,0.63,1119190780753,0.48,48.3,67.5,10.2,30.1,4.69,79
550.93,39.9,0.4,445345282123,1.58,39.7,44.7,7.4,44.7,11.38,80
119.86,0.4,0.61,234094042939,1.24,76.5,43,2,30.8,12.82,81
106.58,0.9,1.37,388698711348,10.79,15.2,62.1,18.3,26.1,4.93,82
108.15,0.8,1.57,395098666122,7.58,24.4,64,23.1,25.3,3.86,83
110.62,0.6,1.61,2001244392042,,22.8,49.6,24.3,59.1,9.89,84
162.47,3.9,1.11,16458071068,1.33,23.7,66,26.8,35.1,8,85
105.48,0.5,1.06,5081769542380,6.77,13.1,61.7,11.9,46.7,2.29,86
125.6,0.8,1.1,43743661972,1.49,25.1,39.3,15.1,28.6,14.72,87
182.75,5.2,0.42,180161741180,0.41,38.8,68.8,11.7,28.4,4.59,88
180.51,4.7,0.95,95503088538,0.25,33.4,74.7,15.1,37.2,2.64,89
99.55,0.6,,194647202,,0.2,,22,32.7,,90
126.6,1.1,0.35,134761198946,0.95,14.4,73.5,1.4,13,2.18,91
155.68,1.1,0.56,8454619608,0.09,48.2,59.8,18,29,6.33,92
135.87,3.3,0.93,18173839128,0.83,45.4,78.5,12.9,24.1,0.63,93
116.86,2.8,1.16,34117202555,2.8,41.6,61.4,22.9,38.1,6.52,94
130.02,3,0.74,53367042272,2.15,32.1,47,15.3,32.2,6.23,95
155.86,5.2,0.7,2460072444,0.41,16.9,67.9,31.6,13.6,23.41,96
223.13,23.6,0.8,3070518100,0.17,19.6,76.3,12.9,46.2,2.81,97
125.71,2.6,0.11,52076250948,1.88,36.7,49.7,,32.6,18.56,98
,,1.74,6552858739,,,,,21.6,,99
118.38,2.3,1.16,54219315600,2.41,32.1,61.6,16.9,42.6,6.35,100
115.09,1.7,1.19,71104919108,13.05,10.6,59.3,26.5,20.4,5.36,101
184.33,5.6,1.11,14083906357,0.21,21.7,86.1,10.2,38.3,1.76,102
418.34,9.4,1.15,7666704427,0.12,11,76.7,17.3,34.5,5.65,103
121.46,0.7,0.45,364701517788,0.93,36.7,64.3,12,38.7,3.32,104
99.7,0.2,1.63,5729248472,,16.4,69.8,19.5,30.2,6.14,105
108.73,-1.7,1.12,17510141171,0.23,46.3,70.8,11.6,54.5,7.22,106
113.45,1.6,1.36,14786156563,5.07,37.1,56.5,26.2,44,3.47,107
,,1.44,221278000,2,10,,17.8,65.9,,108
135.02,2.3,1.13,7593752450,0.53,48.2,45.9,,67,9.55,109
129.91,0.4,1.12,14180444557,0.38,50.7,58.3,19.1,22.2,6.67,110
141.54,3.6,0.73,1258286717125,0.49,41.4,60.7,13.1,55.1,3.42,111
112.1,0.5,,401932279,,2.5,,25.2,60.5,,112
166.2,4.8,0.8,11955435457,0.31,46.2,43.1,17.7,38.7,5.47,113
,,2,7184844193,11.72,6.1,,,,,114
195.76,7.3,0.72,13852850259,0.65,39.3,59.7,16.8,25.7,6.01,115
116.32,2.6,1.16,5494736901,1.23,31.8,54.4,,22.2,14.88,116
111.07,0.2,0.99,118725279596,1.6,53.1,45.3,21.9,45.8,9.02,117
182.31,2.8,0.65,14934159926,0.27,6.8,78.1,0,36.1,3.24,118
168.18,8.8,0.54,76085852617,0.39,73.9,61.7,5.4,31.2,1.58,119
157.97,3.7,0.76,12366527719,,8.3,59.5,27.1,20.7,20.27,120
,,,133000000,,,,,,,121
188.73,5.6,0.91,30641380604,0.36,60.4,83.8,20.7,41.8,1.41,122
115.91,2.6,1.68,909070395161,10.29,12.3,63.6,23,41.2,3.2,123
114.24,1.6,1.4,206928765544,11.49,12.6,69.9,29,34.6,4.07,124
162.74,5.4,0.91,12520915291,0.54,36,66.4,15.6,60.6,6.84,125
109.32,-2.5,0.88,12928145120,0.29,52.3,72,11.8,47.2,0.47,126
267.51,11.4,0.46,448120428859,0.54,72.2,52.9,1.5,34.8,8.1,127
,,0.58,32100000000,,,80.4,,,2.74,128
,,,10220781069,,35.6,,,,,129
120.27,2.2,1.78,403336363636,,14.3,63.8,23.9,36.2,3.35,130
113.53,0.1,0.45,76983094928,4.33,6.4,72.4,2.5,27.4,2.67,131
182.32,10.6,0.79,304400000000,0.69,66.5,52.6,9.2,33.9,4.45,132
118.17,1.3,,283994900,3,21.8,,21.3,76.6,,133
,,,,,,,,,,134
122.07,-0.4,0.74,66800800000,1.53,30.5,66.6,,37.2,3.9,135
155.99,3.6,1.36,24969611435,1.16,5.8,47.2,13.6,37.1,2.46,136
143.82,2.8,1.04,38145288940,1.55,36.5,72.1,10,35,4.81,137
129.78,2.1,0.99,226848050820,1.28,30.9,77.6,14.3,36.8,3.31,138
129.61,2.5,0.86,376795508680,1.12,53.5,59.6,14,43.1,2.15,139
114.11,2.2,1.07,592164400688,2.93,23.2,56.7,17.4,40.8,3.47,140
110.62,0.3,1.54,237686075635,3.78,27.7,58.8,22.8,39.8,6.33,141
115.38,-0.7,0.4,183466208791,,6.2,86.8,14.7,11.3,0.09,142
123.78,3.8,1.16,250077444017,2.25,21.3,54.7,14.6,20,3.98,143
180.75,4.5,0.59,1699876578871,0.53,36.4,61.8,11.4,46.2,4.59,144
151.09,3.4,1.17,10122472590,,26,83.7,14.3,33.2,1.03,145
104.57,-1,,1050992593,3.33,56.6,,18.5,49.7,,146
110.13,1.9,1.3,2122450630,,48.4,67.1,18.2,34.7,20.71,147
109.67,2.3,,825385185,1.16,21.4,65.9,25.4,37,18.88,148
117.56,1,0.91,850655017,0.78,11.5,43.7,25.5,19.3,8.36,149
110.63,1,,1637931034,,18.3,,18.1,36.2,,150
185.09,7.9,,429016605,,11.7,57.8,14.6,37,13.37,151
118.4,-1.2,0.24,792966838162,3.85,15,55.9,8.9,15.7,5.93,152
109.25,1.8,1.14,23578084052,0.31,44.2,45.7,16.3,44.8,6.6,153
144,1.8,1.16,51409167351,1.57,40.6,54.9,18.6,36.6,12.69,154
129.96,1.8,,1698843063,2,2.5,,34.1,30.1,,155
234.16,14.8,1.08,3941474311,0.57,38.2,57.9,8.6,30.7,4.43,156
114.41,0.6,1.25,372062527489,,36.7,70.5,13.1,21,4.11,157
115.34,2.7,1.32,105422304976,3.11,18.4,59.5,18.7,49.7,5.56,158
111.05,1.6,1.32,53742159517,5.25,12.5,58.4,18.6,31,4.2,159
133.06,1.6,,1425074226,0.4,3.3,83.8,29.5,32,0.58,160
,,1.41,4720727278,,,47.4,0,,11.35,161
158.93,4.1,0.92,351431649241,,7.7,56,27.5,29.2,28.18,162
115.16,0.4,1.22,2029000000000,6.49,36.8,63,15.6,33.2,4.15,163
4583.71,187.9,0.28,11997800751,,61.3,72.4,,31.4,12.24,164
110.96,0.7,1.26,1394116310769,5.6,24.2,57.5,14.2,47,13.96,165
155.53,3.5,0.88,84008783756,0.35,38.4,53.9,11.9,55.2,4.2,166
1344.19,51,0.95,18902284476,0.41,63.2,48.4,8,45.4,16.53,167
294.66,22,1.29,3985250737,,10.1,51.1,19.5,27.9,7.33,168
110.51,1.8,1.42,530832908738,,15.2,64.6,27.9,49.1,6.48,169
99.55,0.4,1.45,703082435360,,28.3,68.3,10.1,28.8,4.58,170
143.2,36.7,0.83,40405006007,1.02,53.7,44.1,14.2,42.7,8.37,171
148.57,6,0.71,8116626794,0.23,63.1,42,9.8,67.3,11.02,172
187.43,3.5,0.87,63177068175,0.09,26.1,83.4,11.5,43.8,1.98,173
113.27,0.7,0.71,543649976166,1.06,11.8,67.3,14.9,29.5,0.75,174
145.38,2.6,1.1,1673540300,0.6,10.2,67.3,25,17.3,4.55,175
113.3,0.7,0.71,5459979417,0.34,51,77.6,16.9,48.2,2.04,176
121.09,7.4,,450353314,,10.2,59.8,22.3,27.5,1.12,177
141.75,1,0.54,24100202834,2.25,37.3,60,19.5,40.5,2.69,178
155.33,6.7,0.73,38797709924,0.47,39.8,46.1,21.1,60.7,16.02,179
234.44,15.2,1.42,754411708203,3.45,16.9,52.8,17.9,42.3,13.49,180
,,0.29,40761142857,0.88,71.1,64.5,,,3.91,181
,,,47271463,,0.7,,,,,182
173.87,2.9,0.94,34387229486,0.01,40.5,70.3,11.7,33.7,1.84,183
281.66,7.9,0.83,153781069118,0.84,47.8,54.2,20.1,45.2,8.88,184
114.52,-1.9,0.49,421142267938,,17.8,82.1,0.1,15.9,2.35,185
119.62,1.7,1.46,2827113184696,10.13,14.8,62.8,25.5,30.6,3.85,186
117.24,7.5,0.71,21427700000000,7.25,11.1,62,9.6,36.6,14.7,187
202.92,7.9,1.5,56045912952,1.66,16.2,64,20.1,41.8,8.73,188
,,1.03,57921286440,0.24,42.7,65.1,14.8,31.6,5.92,189
117.13,2.8,1.31,917058851,1.56,8.9,69.9,17.8,8.5,4.39,190
2740.27,254.9,0,482359318768,0.01,45.8,59.7,,73.3,8.8,191
163.52,2.8,0.8,261921244843,0.73,43.5,77.4,19.1,37.6,2.01,192
157.58,8.1,0.92,26914402224,,81,38,,26.6,12.91,193
212.31,9.2,1.4,23064722446,0.24,27.5,74.6,16.2,15.6,11.43,194
105.51,0.9,1.34,21440758800,,25.8,83.1,20.7,31.6,4.95,195
