37,2013,99.996445,63.2,258.3,301710000,11.45,4203.77,111.5,1093.37,22.276764,24600.36,8.05,9.98457e+09,8.959421,7.76615,7020.3384,153
37,2014,100,66,296.29,229420000,11.94,4345.86,133.22,1289.23,24.659735,2.5072024e+07,7.69,1.000667e+07,10.19733,7.4257636,7636.1167,153
37,2015,100,68.4,340.55,92000000,12.18,4222.76,171.38,1393.66,27.040327,25209.49,7.21,9.8611e+09,10.787498,7.041329,8016.4316,153
37,2016,100,70.6,382.59,1245180000,12.56,4355,213.18,1522.79,28.500713,2.5164804e+07,6.71,9.87466e+09,11.530947,6.848762,8094.3633,153
37,2017,100,73.2,436.9,372490000,13.13,4643.1,248.1,1667.06,29.20226,2.5987612e+07,6.51,1.009601e+07,12.138821,6.947201,8816.987,153
37,2018,100,75.6,487.16,318260000,13.71,4990.28,295,1835.32,29.917704,27109.42,6.39,1.050293e+07,12.807393,6.749774,9905.342,153
37,2019,100,77.6,529.28,201540000,14.45,5098.22,348.7,2014.57,31.672895,2.8277444e+07,6.31,1.070722e+07,13.51596,5.949714,10143.838,153
37,2020,100,79.4,621.74,,,5184.13,366.2,2184.94,32.980618,2.9133936e+07,,,14.242872,2.3475137,10434.775,153
38,2000,95.2,78.1,210.84,,28.03,10.21,0,31.98,75.79996,8011.8125,3,58340,29.556067,2.9248614,2520.4812,46
38,2001,98.47,78.9,217.68,,27.24,10.78,0,31.69,74.61738,7.953855e+06,2.95,58940,30.604485,1.6778983,2439.6824,46
38,2002,94.9055,79.7,223.19,90000,28.8,10.25,0,33.83,76.746826,7.834471e+06,2.83,56770,32.692554,2.5039804,2396.6272,46
38,2003,95.12935,80.7,215.58,10000,30.7,9.6,0,36,78.94737,7.863652e+06,2.78,56110,33.389133,3.918272,2281.4019,46
38,2004,95.35031,81.5,214.54,,29.18,8.87,0,39.91,81.81632,8152.3345,2.66,56110,34.505455,5.333022,2782.6233,46
38,2005,96.8,82.4,211.95,223460000,29.08,9.71,0,39.64,80.32422,7.917907e+06,2.65,57640,35.05353,4.828761,3414.465,46
38,2006,95.79303,83,209.72,1940000,29.69,10.13,0,42.6,80.788925,9.024093e+06,2.62,57690,34.14272,6.716869,3741.0928,46
44,2009,100,100,,,6.31,5.18,0,0.03,0.57581574,3.1506952e+07,3.44,8280,0.28097296,-2.0152624,32109.242,131
44,2010,100,100,,,6.55,5.25,0,0.08,1.500938,3.0146272e+07,3.25,7900,0.6377341,2.0146956,31023.639,131
44,2011,100,100,,,7.66,4.75,0,0.17,3.4552846,2.9451956e+07,3.15,7630,1.5228559,0.40143794,32396.385,131
44,2012,100,100,,,8.69,4.46,0,0.26,5.508475,2.7326792e+07,3.06,7100,2.3008752,-3.4468222,28912.156,131
44,2013,100,100,,,9.83,3.96,0,0.33,7.692308,2.4232332e+07,2.83,6430,3.2324405,-6.553078,27729.193,131
44,2014,100,100,,,9.59,4.03,0,0.31,7.142857,24039.48,2.95,6810,3.1309736,-1.8293091,27163.332,131
44,2015,100,100,,,10.51,4.14,0,0.4,8.810573,24580.83,2.93,6850,3.776322,3.3830798,23408.336,131
44,2016,100,100,,,10.36,4.46,0,0.43,8.793456,2.6494056e+07,2.94,7220,3.6664777,6.4545546,24605.92,131
44,2017,100,100,,,11.03,4.57,0,0.43,8.6,2.6971416e+07,2.88,7360,3.6376648,5.8525405,26608.875,131
44,2018,100,100,,,12.11,4.58,0,0.48,9.486166,26633.77,2.74,7200,3.8665202,5.6928415,29334.111,131
44,2019,100,100,,,12.05,4.63,0,0.52,10.097087,2.6442418e+07,2.67,7190,4.2749753,5.2831874,29206.076,131
44,2020,100,100,,,,4.25,0,0.6,12.371135,2.2852852e+07,,,5.661981,-5.228988,27527.846,131
