60,58.1,652,323,8672,2.1,1
105,43.1,28748,9,4536,28.1,2
18,17.4,2381741,317,150006,0.8,3
164,40,468,,469,34,4
26,47.5,1246700,117,34693,46.3,5
223,20.5,443,0,557,22.3,6
17,54.3,2780400,105,201348,9.8,7
104,58.9,29743,49,5156,11.7,8
3,48.2,7741220,58,375908,16.3,9
109,32.4,83871,21,61448,46.9,10
123,57.7,87,82,38,14.1,11
39,1.4,14,1,1786,51.4,12
2239,11.1,765,19,31694,0.8,13
1265,70.6,148,221,84246,11,14
668,23.3,430,1,1276,14.7,15
47,42,208,155,58,42.6,16
383,44.6,30528,32,96889,22.6,17
17,7,22966,2,568,59.7,18
108,33.3,112622,12,6476,37.8,19
20,13.6,38394,6,1261,72.5,20
11,34.8,1098581,71,21606,50.3,21
64,43.1,51197,11,21848,42.7,22
4,45.6,582,9,6,18.9,23
25,33.9,8515770,730,462299,58.9,24
83,2.7,5765,8,7664,72.1,25
64,46.3,110879,31,41708,35.4,26
76,44.2,274,11,3418,19.3,27
463,79.2,28,31,495,10.9,28
83,64.8,322463,27,9674,32.7,29
138,19.6,4033,1,543,22.5,30
95,30.9,181035,191,9919,52.9,31
56,20.6,475,24,8291,39.3,32
4,6.9,9984670,72,544894,38.2,33
8,8.2,622984,8,297,35.6,34
13,39.7,1284000,35,1016,3.8,35
26,21.2,756096,122,85822,24.3,36
153,56.2,9596960,2695000,9893038,22.4,37
46,40.3,1138910,481,97814,52.7,38
467,71.5,2235,,202,19.7,39
16,31.1,342,12,3282,65.4,40
100,34.5,51,10,8023,54.6,41
73,27.6,56594,18,17488,34.4,42
106,59.9,111,76,28284,31.3,43
131,12.2,9251,16,6626,18.7,44
139,45.2,78867,23,102218,34.6,45
40,11.6,2344858,134,2021,67.2,46
137,62,43094,15,31786,14.7,47
43,73.4,23,13,620,0.2,48
96,33.3,751,,180,57.4,49
225,48.7,49,71,25258,41.7,50
71,22.2,283561,41,41155,50.2,51
103,3.8,1001450,836,239,0.1,52
313,76.4,21041,42,7169,12.6,53
50,10.1,28051,1,5655,55.5,54
35,75.2,118,202,711,14.9,55
31,23.1,45228,6,17,51.3,56
67,,17364,,,,57
115,36.3,1104300,138,15,12.5,58
49,23.3,18274,4,2046,55.9,59
18,7.5,338145,25,45871,73.1,60
119,52.4,643801,307,303276,31.2,61
9,20,267667,7,5321,90,62
239,59.8,11,1,532,48.4,63
57,34.5,70,26,10128,40.6,64
240,47.7,357022,180,727973,32.7,65
137,69,238533,16,17,41.2,66
81,47.6,131957,146,62434,31.7,67
331,23.5,349,,268,50,68
167,36,108889,43,16777,32.7,69
53,59,245857,13,2996,25.8,70
70,58,36125,4,293,69.8,71
4,8.6,214969,3,2384,83.9,72
414,66.8,28,0,2978,3.5,73
2003,,0,,,,74
89,28.9,112,23,9813,40,75
107,58.4,93028,40,45537,22.9,76
3,18.7,103,0,2065,0.5,77
464,60.4,3287263,3031000,2407672,23.8,78
151,31.5,1904569,676,563325,49.9,79
52,28.2,1648195,563,662,6.6,80
93,21.4,438317,209,190061,1.9,81
72,64.5,70273,9,37711,11,82
400,24.6,21,178,65166,7.7,83
206,43.2,301,347,320411,31.8,84
273,41,10991,4,8225,30.9,85
347,12.3,377944,261,1135886,68.5,86
115,12,89342,116,25108,1.1,87
7,80.4,2724900,71,247207,1.2,88
94,48.5,580367,29,18,7.8,89
147,42,811,,66,15,90
240,8.4,17818,25,98734,0.4,91
34,55,199951,21,9787,3.3,92
32,10.3,237,129,17763,82.1,93
30,31.1,64589,6,7004,54,94
667,64.3,10,80,24796,13.4,95
71,77.6,30355,2,2512,1.6,96
53,28,111369,2,1386,43.1,97
4,8.7,1759540,0,50564,0.1,98
238,32.2,160,,51,43.1,99
43,47.2,65,34,12963,34.8,100
242,53.7,2586,2,8988,35.7,101
48,71.2,587041,22,3905,21.4,102
203,61.4,118484,15,1298,33.2,103
99,26.3,329847,136,248289,67.6,104
1802,26.3,298,5,1445,3.3,105
17,33.8,1240192,18,3179,3.8,106
1.38,32.4,316,2,1342,1.1,107
329,63.9,181,,143,70.2,108
5,38.5,1030700,21,2739,0.2,109
626,42.4,2,3,4349,19,110
66,54.6,1964375,336,486406,33.9,111
784,31.4,702,,143,91.9,112
123,74.2,33851,7,5115,12.6,113
26337,,2,,,,114
2,71.5,1564116,18,25368,8,115
47,19,13812,12,2017,61.5,116
83,68.5,447,246,61276,12.6,117
40,63.5,799,11,7943,48,118
83,19.5,676578,513,25,43.6,119
3,47.1,824292,16,4228,8.3,120
541,,21,,,,121
203,28.7,147181,112,9105,25.4,122
508,53.3,41543,41,171,11.2,123
18,40.5,268838,9,34382,38.6,124
55,42.1,130,12,5592,25.9,125
19,36.1,1267000,10,2017,0.9,126
