1,32.49,4.47,47.9,64.5,638,0.28,38041754,9797273
2,11.78,1.62,7.8,78.5,15,1.2,2854191,1747593
3,24.28,3.02,20.1,76.7,112,1.72,43053054,31510100
4,7.2,1.27,2.7,,,3.33,77142,67873
5,40.73,5.52,51.6,60.8,241,0.21,31825295,21061025
6,15.33,1.99,5,76.9,42,2.76,97118,238
7,17.02,2.26,8.8,76.5,39,3.96,44938712,41339571
8,13.99,1.76,11,74.9,26,4.4,2957731,1869848
9,12.6,1.74,3.1,82.7,6,3.68,25766605,21844756
10,9.7,1.47,2.9,81.6,5,5.17,8877067,5194416
11,14,1.73,19.2,72.9,26,3.45,10023318,5616165
12,13.97,1.75,8.3,73.8,70,1.94,389482,323784
13,13.99,1.99,6.1,77.2,14,0.93,1501635,1467109
14,18.18,2.04,25.1,72.3,173,0.58,167310838,60987417
15,10.65,1.62,11.3,79.1,27,2.48,287025,89431
16,9.9,1.45,2.6,74.2,2,5.19,9466856,7482982
17,10.3,1.62,2.9,81.6,5,3.07,11484055,11259082
18,20.79,2.31,11.2,74.5,36,1.12,390353,179039
19,36.22,4.84,60.5,61.5,397,0.08,11801151,5648149
20,17.26,1.98,24.8,71.5,183,0.42,727145,317538
21,21.75,2.73,21.8,71.2,155,1.59,11513100,8033035
22,8.11,1.27,5,77.3,10,2.16,3301000,1605144
23,24.82,2.87,30,69.3,144,0.37,2346179,1616550
24,13.92,1.73,12.8,75.7,60,2.15,212559417,183241641
25,14.9,1.85,9.8,75.7,31,1.61,433285,337711
26,8.9,1.56,5.9,74.9,10,4.03,6975761,5256027
27,37.93,5.19,49,61.2,320,0.08,20321378,6092349
28,39.01,5.41,41,61.2,548,0.1,11530580,1541177
29,35.74,4.65,59.4,57.4,617,0.23,25716544,13176900
30,19.49,2.27,16.7,72.8,58,0.77,483628,364029
31,22.46,2.5,24,69.6,160,0.17,16486542,3924621
32,35.39,4.57,50.6,58.9,529,0.09,25876380,14741256
33,10.1,1.5,4.3,81.9,10,2.61,36991981,30628482
34,35.35,4.72,84.5,52.8,829,0.06,4745185,1982064
35,42.17,5.75,71.4,54,1140,0.04,15946876,3712273
36,12.43,1.65,6.2,80,13,2.59,18952038,16610135
37,10.9,1.69,7.4,77,29,1.98,1397715000,842933962
38,14.88,1.81,12.2,77.1,83,2.18,50339443,40827302
39,31.88,4.21,51.3,64.1,273,0.27,850886,248152
40,32.86,4.43,36.2,64.3,378,0.12,5380508,3625010
41,13.97,1.75,7.6,80.1,27,2.89,5047561,4041885
42,9,1.47,4,78.1,8,3,4067500,2328318
43,10.17,1.62,3.7,78.7,36,8.42,11333483,8739135
44,10.46,1.33,1.9,80.8,6,1.95,1198575,800708
